Invoice_Id,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax_5%,Sales,Date,Payment,Cogs,Gross_Income,Rating,Year,Month,Day,Satisfied
744-09-5786,Cairo,Mandalay,Normal,Male,Electronic accessories,22.01,6,6.603,138.663,2019-01-02,Cash,132.06,6.603,7.6,2019,1,2,Satisfied
198-84-7132,Cairo,Mandalay,Member,Male,Fashion accessories,40.61,9,18.2745,383.7645,2019-01-02,Cash,365.49,18.2745,7.0,2019,1,2,Satisfied
244-08-0162,Cairo,Mandalay,Normal,Female,Health and beauty,34.21,10,17.105,359.205,2019-01-02,Cash,342.1,17.105,5.1,2019,1,2,Not Satisfied
501-61-1753,Cairo,Mandalay,Normal,Female,Home and lifestyle,63.15,6,18.945,397.845,2019-01-03,Ewallet,378.9,18.945,9.8,2019,1,3,Satisfied
875-31-8302,Cairo,Mandalay,Normal,Male,Sports and travel,93.38,1,4.669,98.049,2019-01-03,Cash,93.38,4.669,9.6,2019,1,3,Satisfied
343-87-0864,Giza,Naypyitaw,Member,Male,Health and beauty,75.88,1,3.794,79.674,2019-01-03,Credit Card,75.88,3.794,7.1,2019,1,3,Satisfied
687-15-1097,Giza,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,44.352,2019-01-03,Cash,42.24,2.112,9.7,2019,1,3,Satisfied
749-24-1565,Alex,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,2019-01-03,Ewallet,207.27,10.3635,7.9,2019,1,3,Satisfied
249-42-3782,Alex,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2019-01-03,Ewallet,350.05,17.5025,5.5,2019,1,3,Not Satisfied
552-44-5977,Cairo,Mandalay,Member,Male,Health and beauty,62.0,8,24.8,520.8,2019-01-03,Credit Card,496.0,24.8,6.2,2019,1,3,Not Satisfied
422-29-8786,Alex,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.7725,352.2225,2019-01-03,Credit Card,335.45,16.7725,9.1,2019,1,3,Satisfied
132-23-6451,Alex,Yangon,Member,Male,Health and beauty,20.97,5,5.2425,110.0925,2019-01-04,Cash,104.85,5.2425,7.8,2019,1,4,Satisfied
725-32-9708,Cairo,Mandalay,Member,Female,Fashion accessories,68.71,4,13.742,288.582,2019-01-04,Cash,274.84,13.742,4.1,2019,1,4,Not Satisfied
656-16-1063,Cairo,Mandalay,Normal,Male,Sports and travel,46.42,3,6.963,146.223,2019-01-04,Credit Card,139.26,6.963,4.4,2019,1,4,Not Satisfied
279-74-2924,Cairo,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,Cash,72.17,3.6085,6.1,2019,1,4,Not Satisfied
731-14-2199,Alex,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,2019-01-04,Ewallet,355.4,17.77,7.0,2019,1,4,Satisfied
672-51-8681,Giza,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,2019-01-04,Credit Card,599.85,29.9925,9.7,2019,1,4,Satisfied
489-82-1237,Alex,Yangon,Normal,Female,Electronic accessories,93.88,7,32.858,690.018,2019-01-05,Credit Card,657.16,32.858,7.3,2019,1,5,Satisfied
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,Ewallet,522.83,26.1415,9.1,2019,1,5,Satisfied
628-34-3388,Giza,Naypyitaw,Member,Female,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,Credit Card,164.28,8.214,7.9,2019,1,5,Satisfied
841-18-8232,Cairo,Mandalay,Normal,Female,Food and beverages,71.2,1,3.56,74.76,2019-01-05,Credit Card,71.2,3.56,9.2,2019,1,5,Satisfied
801-88-0346,Giza,Naypyitaw,Normal,Female,Fashion accessories,54.795,3,11.409,239.589,2019-01-05,Credit Card,228.18,11.409,9.8,2019,1,5,Satisfied
339-12-4827,Cairo,Mandalay,Member,Female,Fashion accessories,73.96,1,3.698,77.658,2019-01-05,Credit Card,73.96,3.698,5.0,2019,1,5,Not Satisfied
433-08-7822,Giza,Naypyitaw,Normal,Female,Health and beauty,78.89,7,27.6115,579.8415,2019-01-05,Ewallet,552.23,27.6115,7.5,2019,1,5,Satisfied
209-61-0206,Alex,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.7275,225.2775,2019-01-05,Ewallet,214.55,10.7275,6.1,2019,1,5,Not Satisfied
217-58-1179,Alex,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,2019-01-05,Cash,250.6,12.53,4.2,2019,1,5,Not Satisfied
843-01-4703,Cairo,Mandalay,Member,Female,Home and lifestyle,35.38,9,15.921,334.341,2019-01-05,Credit Card,318.42,15.921,9.6,2019,1,5,Satisfied
573-98-8548,Giza,Naypyitaw,Member,Female,Fashion accessories,31.9,1,1.595,33.495,2019-01-05,Ewallet,31.9,1.595,9.1,2019,1,5,Satisfied
144-51-6085,Alex,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.108,2019-01-05,Credit Card,282.96,14.148,4.4,2019,1,5,Not Satisfied
846-10-0341,Alex,Yangon,Normal,Female,Fashion accessories,42.57,7,14.8995,312.8895,2019-01-06,Cash,297.99,14.8995,6.8,2019,1,6,Not Satisfied
852-82-2749,Alex,Yangon,Normal,Male,Sports and travel,64.59,4,12.918,271.278,2019-01-06,Ewallet,258.36,12.918,9.3,2019,1,6,Satisfied
834-25-9262,Giza,Naypyitaw,Normal,Female,Fashion accessories,81.68,4,16.336,343.056,2019-01-06,Cash,326.72,16.336,9.1,2019,1,6,Satisfied
729-06-2010,Cairo,Mandalay,Member,Male,Health and beauty,80.47,9,36.2115,760.4415,2019-01-06,Cash,724.23,36.2115,9.2,2019,1,6,Satisfied
826-58-8051,Cairo,Mandalay,Normal,Male,Home and lifestyle,62.19,4,12.438,261.198,2019-01-06,Ewallet,248.76,12.438,4.3,2019,1,6,Not Satisfied
490-29-1201,Alex,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,16.107,2019-01-06,Cash,15.34,0.767,6.5,2019,1,6,Not Satisfied
704-11-6354,Alex,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,2019-01-06,Cash,471.2,23.56,8.9,2019,1,6,Satisfied
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10,44.74,253.512,2019-01-06,Credit Card,894.8,44.74,9.6,2019,1,6,Satisfied
662-72-2873,Alex,Yangon,Normal,Female,Food and beverages,40.94,5,10.235,214.935,2019-01-06,Ewallet,204.7,10.235,9.9,2019,1,6,Satisfied
126-54-1082,Alex,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,2019-01-07,Credit Card,193.86,9.693,8.8,2019,1,7,Satisfied
390-31-6381,Giza,Naypyitaw,Normal,Male,Food and beverages,27.22,3,4.083,85.743,2019-01-07,Cash,81.66,4.083,7.3,2019,1,7,Satisfied
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,253.512,2019-01-07,Ewallet,585.66,29.283,9.9,2019,1,7,Satisfied
526-86-8552,Giza,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,2019-01-07,Cash,218.2,10.91,7.1,2019,1,7,Satisfied
799-71-1548,Alex,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,326.424,2019-01-07,Credit Card,310.88,15.544,8.8,2019,1,7,Satisfied
232-16-2483,Giza,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,Ewallet,68.12,3.406,6.8,2019,1,7,Not Satisfied
889-04-9723,Cairo,Mandalay,Member,Female,Food and beverages,89.14,4,17.828,374.388,2019-01-07,Credit Card,356.56,17.828,7.8,2019,1,7,Satisfied
566-19-5475,Cairo,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.7895,352.5795,2019-01-07,Cash,335.79,16.7895,6.2,2019,1,7,Not Satisfied
541-48-8554,Alex,Yangon,Normal,Male,Sports and travel,60.95,9,27.4275,575.9775,2019-01-07,Credit Card,548.55,27.4275,6.0,2019,1,7,Not Satisfied
387-49-4215,Cairo,Mandalay,Member,Female,Sports and travel,48.5,3,7.275,152.775,2019-01-08,Cash,145.5,7.275,6.7,2019,1,8,Not Satisfied
767-97-4650,Cairo,Mandalay,Member,Female,Sports and travel,64.83,2,6.483,136.143,2019-01-08,Credit Card,129.66,6.483,8.0,2019,1,8,Satisfied
241-96-5076,Cairo,Mandalay,Member,Female,Home and lifestyle,49.1,2,4.91,103.11,2019-01-08,Credit Card,98.2,4.91,6.4,2019,1,8,Not Satisfied
674-15-9296,Alex,Yangon,Normal,Male,Sports and travel,37.14,5,9.285,194.985,2019-01-08,Ewallet,185.7,9.285,5.0,2019,1,8,Not Satisfied
571-94-0759,Cairo,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,783.3,2019-01-08,Cash,746.0,37.3,9.5,2019,1,8,Satisfied
845-94-6841,Giza,Naypyitaw,Member,Female,Food and beverages,72.88,9,32.796,688.716,2019-01-08,Cash,655.92,32.796,4.0,2019,1,8,Not Satisfied
490-95-0021,Cairo,Mandalay,Member,Female,Food and beverages,33.21,10,16.605,348.705,2019-01-08,Ewallet,332.1,16.605,6.0,2019,1,8,Not Satisfied
257-60-7754,Alex,Yangon,Normal,Female,Electronic accessories,50.23,4,10.046,210.966,2019-01-08,Cash,200.92,10.046,9.0,2019,1,8,Satisfied
840-76-5966,Alex,Yangon,Member,Male,Sports and travel,12.76,2,1.276,26.796,2019-01-08,Ewallet,25.52,1.276,7.8,2019,1,8,Satisfied
750-57-9686,Giza,Naypyitaw,Normal,Female,Home and lifestyle,45.38,4,9.076,190.596,2019-01-08,Credit Card,181.52,9.076,8.7,2019,1,8,Satisfied
124-31-1458,Alex,Yangon,Member,Female,Electronic accessories,79.59,3,11.9385,250.7085,2019-01-08,Cash,238.77,11.9385,6.6,2019,1,8,Not Satisfied
484-22-8230,Giza,Naypyitaw,Member,Female,Fashion accessories,51.89,7,18.1615,381.3915,2019-01-08,Cash,363.23,18.1615,4.5,2019,1,8,Not Satisfied
189-08-9157,Giza,Naypyitaw,Member,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,Credit Card,285.57,14.2785,5.9,2019,1,8,Not Satisfied
663-86-9076,Giza,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,Ewallet,548.32,27.416,8.5,2019,1,8,Satisfied
631-34-1880,Giza,Naypyitaw,Member,Male,Food and beverages,24.31,3,3.6465,76.5765,2019-01-08,Credit Card,72.93,3.6465,4.3,2019,1,8,Not Satisfied
457-13-1708,Cairo,Mandalay,Member,Male,Fashion accessories,65.23,10,32.615,684.915,2019-01-08,Credit Card,652.3,32.615,5.2,2019,1,8,Not Satisfied
442-44-6497,Giza,Naypyitaw,Member,Male,Home and lifestyle,55.57,3,8.3355,175.0455,2019-01-08,Credit Card,166.71,8.3355,5.9,2019,1,8,Not Satisfied
192-98-7397,Giza,Naypyitaw,Normal,Male,Fashion accessories,12.78,1,0.639,13.419,2019-01-08,Ewallet,12.78,0.639,9.5,2019,1,8,Satisfied
867-47-1948,Giza,Naypyitaw,Normal,Female,Home and lifestyle,15.8,10,7.9,165.9,2019-01-09,Cash,158.0,7.9,7.8,2019,1,9,Satisfied
370-96-0655,Giza,Naypyitaw,Normal,Female,Fashion accessories,49.32,6,14.796,310.716,2019-01-09,Ewallet,295.92,14.796,7.1,2019,1,9,Satisfied
554-42-2417,Giza,Naypyitaw,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,2019-01-09,Cash,954.4,47.72,5.2,2019,1,9,Not Satisfied
189-40-5216,Giza,Naypyitaw,Normal,Male,Electronic accessories,96.37,7,33.7295,708.3195,2019-01-09,Cash,674.59,33.7295,6.0,2019,1,9,Not Satisfied
343-75-9322,Cairo,Mandalay,Member,Female,Sports and travel,11.85,8,4.74,99.54,2019-01-09,Cash,94.8,4.74,4.1,2019,1,9,Not Satisfied
288-62-1085,Alex,Yangon,Member,Male,Fashion accessories,38.54,5,9.635,202.335,2019-01-09,Ewallet,192.7,9.635,5.6,2019,1,9,Not Satisfied
305-89-2768,Cairo,Mandalay,Member,Female,Home and lifestyle,21.9,3,3.285,68.985,2019-01-09,Ewallet,65.7,3.285,4.7,2019,1,9,Not Satisfied
263-10-3913,Giza,Naypyitaw,Member,Female,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,Credit Card,441.36,22.068,8.6,2019,1,9,Satisfied
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8,33.512,703.752,2019-01-10,Cash,670.24,33.512,5.1,2019,1,10,Not Satisfied
241-11-2261,Cairo,Mandalay,Normal,Female,Fashion accessories,79.86,7,27.951,586.971,2019-01-10,Credit Card,559.02,27.951,5.5,2019,1,10,Not Satisfied
873-51-0671,Alex,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,Ewallet,153.86,7.693,5.1,2019,1,10,Not Satisfied
603-07-0961,Giza,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,392.6475,2019-01-10,Cash,373.95,18.6975,4.9,2019,1,10,Not Satisfied
577-34-7579,Giza,Naypyitaw,Member,Male,Food and beverages,50.49,9,22.7205,477.1305,2019-01-10,Cash,454.41,22.7205,5.4,2019,1,10,Not Satisfied
226-34-0034,Cairo,Mandalay,Normal,Female,Electronic accessories,13.78,4,2.756,57.876,2019-01-10,Ewallet,55.12,2.756,9.0,2019,1,10,Satisfied
887-42-0517,Giza,Naypyitaw,Normal,Female,Sports and travel,83.14,7,29.099,611.079,2019-01-10,Credit Card,581.98,29.099,6.6,2019,1,10,Not Satisfied
744-02-5987,Alex,Yangon,Member,Male,Home and lifestyle,78.38,6,23.514,493.794,2019-01-10,Ewallet,470.28,23.514,5.8,2019,1,10,Not Satisfied
130-67-4723,Alex,Yangon,Member,Male,Food and beverages,48.5,6,14.55,305.55,2019-01-11,Ewallet,291.0,14.55,9.4,2019,1,11,Satisfied
746-68-6593,Giza,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.716,183.036,2019-01-11,Credit Card,174.32,8.716,9.7,2019,1,11,Satisfied
592-46-1692,Giza,Naypyitaw,Member,Female,Food and beverages,36.77,7,12.8695,270.2595,2019-01-11,Cash,257.39,12.8695,7.4,2019,1,11,Satisfied
406-46-7107,Alex,Yangon,Normal,Female,Home and lifestyle,54.795,6,28.956,608.076,2019-01-11,Cash,579.12,28.956,4.5,2019,1,11,Not Satisfied
540-11-4336,Alex,Yangon,Normal,Male,Food and beverages,24.94,9,11.223,235.683,2019-01-11,Credit Card,224.46,11.223,5.6,2019,1,11,Not Satisfied
478-06-7835,Alex,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,2019-01-11,Ewallet,89.69,4.4845,4.9,2019,1,11,Not Satisfied
289-15-7034,Alex,Yangon,Member,Male,Sports and travel,82.33,4,16.466,345.786,2019-01-11,Credit Card,329.32,16.466,7.5,2019,1,11,Satisfied
732-67-5346,Alex,Yangon,Normal,Male,Food and beverages,13.79,5,3.4475,72.3975,2019-01-11,Credit Card,68.95,3.4475,7.8,2019,1,11,Satisfied
751-15-6198,Cairo,Mandalay,Normal,Male,Sports and travel,23.01,6,6.903,144.963,2019-01-12,Ewallet,138.06,6.903,7.9,2019,1,12,Satisfied
659-36-1684,Giza,Naypyitaw,Member,Female,Sports and travel,57.12,7,19.992,419.832,2019-01-12,Credit Card,399.84,19.992,6.5,2019,1,12,Not Satisfied
751-41-9720,Giza,Naypyitaw,Normal,Male,Home and lifestyle,97.5,10,48.75,1023.75,2019-01-12,Ewallet,975.0,48.75,8.0,2019,1,12,Satisfied
704-48-3927,Alex,Yangon,Member,Female,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,Ewallet,886.7,44.335,7.3,2019,1,12,Satisfied
296-11-7041,Cairo,Mandalay,Member,Female,Health and beauty,27.07,1,1.3535,28.4235,2019-01-12,Credit Card,27.07,1.3535,5.3,2019,1,12,Not Satisfied
533-66-5566,Cairo,Mandalay,Normal,Female,Home and lifestyle,51.07,7,17.8745,375.3645,2019-01-12,Cash,357.49,17.8745,7.0,2019,1,12,Satisfied
381-20-0914,Alex,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,Credit Card,180.09,9.0045,5.7,2019,1,12,Not Satisfied
197-77-7132,Cairo,Mandalay,Member,Male,Electronic accessories,91.56,8,36.624,769.104,2019-01-12,Ewallet,732.48,36.624,6.0,2019,1,12,Not Satisfied
852-62-7105,Cairo,Mandalay,Normal,Female,Fashion accessories,83.25,10,41.625,874.125,2019-01-12,Credit Card,832.5,41.625,4.4,2019,1,12,Not Satisfied
647-50-1224,Alex,Yangon,Normal,Female,Fashion accessories,29.42,10,14.71,308.91,2019-01-12,Ewallet,294.2,14.71,8.9,2019,1,12,Satisfied
848-07-1692,Cairo,Mandalay,Normal,Female,Health and beauty,57.22,2,5.722,120.162,2019-01-12,Ewallet,114.44,5.722,8.3,2019,1,12,Satisfied
459-50-7686,Alex,Yangon,Normal,Female,Electronic accessories,23.46,6,7.038,147.798,2019-01-13,Ewallet,140.76,7.038,6.4,2019,1,13,Not Satisfied
327-40-9673,Cairo,Mandalay,Member,Male,Sports and travel,72.6,6,21.78,457.38,2019-01-13,Cash,435.6,21.78,6.9,2019,1,13,Not Satisfied
339-38-9982,Cairo,Mandalay,Member,Male,Fashion accessories,59.86,2,5.986,125.706,2019-01-13,Ewallet,119.72,5.986,6.7,2019,1,13,Not Satisfied
556-86-3144,Giza,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,2019-01-13,Cash,74.29,3.7145,5.0,2019,1,13,Not Satisfied
397-25-8725,Alex,Yangon,Member,Female,Health and beauty,39.62,9,17.829,374.409,2019-01-13,Credit Card,356.58,17.829,6.8,2019,1,13,Not Satisfied
732-94-0499,Giza,Naypyitaw,Member,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,Credit Card,416.5,20.825,5.4,2019,1,13,Not Satisfied
195-06-0432,Alex,Yangon,Member,Male,Home and lifestyle,81.01,3,12.1515,255.1815,2019-01-13,Credit Card,243.03,12.1515,9.3,2019,1,13,Satisfied
355-34-6244,Cairo,Mandalay,Normal,Male,Food and beverages,72.39,2,7.239,152.019,2019-01-13,Credit Card,144.78,7.239,8.1,2019,1,13,Satisfied
784-08-0310,Giza,Naypyitaw,Member,Female,Food and beverages,21.04,4,4.208,88.368,2019-01-13,Cash,84.16,4.208,7.6,2019,1,13,Satisfied
460-93-5834,Alex,Yangon,Normal,Male,Sports and travel,45.58,7,15.953,335.013,2019-01-13,Cash,319.06,15.953,5.0,2019,1,13,Not Satisfied
704-10-4056,Giza,Naypyitaw,Member,Male,Health and beauty,60.47,3,9.0705,190.4805,2019-01-14,Credit Card,181.41,9.0705,5.6,2019,1,14,Not Satisfied
451-73-2711,Giza,Naypyitaw,Normal,Male,Food and beverages,84.83,1,4.2415,89.0715,2019-01-14,Ewallet,84.83,4.2415,8.8,2019,1,14,Satisfied
559-61-5987,Cairo,Mandalay,Normal,Female,Health and beauty,17.75,1,0.8875,18.6375,2019-01-14,Cash,17.75,0.8875,8.6,2019,1,14,Satisfied
377-79-7592,Giza,Naypyitaw,Member,Female,Electronic accessories,44.84,9,20.178,423.738,2019-01-14,Credit Card,403.56,20.178,7.5,2019,1,14,Satisfied
592-34-6155,Giza,Naypyitaw,Normal,Male,Food and beverages,31.77,4,6.354,133.434,2019-01-14,Ewallet,127.08,6.354,6.2,2019,1,14,Not Satisfied
868-52-7573,Cairo,Mandalay,Normal,Female,Food and beverages,99.69,5,24.9225,523.3725,2019-01-14,Cash,498.45,24.9225,9.9,2019,1,14,Satisfied
658-66-3967,Giza,Naypyitaw,Normal,Male,Health and beauty,53.19,7,18.6165,390.9465,2019-01-14,Ewallet,372.33,18.6165,5.0,2019,1,14,Not Satisfied
785-13-7708,Cairo,Mandalay,Normal,Male,Food and beverages,73.06,7,25.571,536.991,2019-01-14,Credit Card,511.42,25.571,4.2,2019,1,14,Not Satisfied
667-23-5919,Alex,Yangon,Member,Female,Fashion accessories,96.7,5,24.175,507.675,2019-01-14,Ewallet,483.5,24.175,7.0,2019,1,14,Satisfied
588-47-8641,Alex,Yangon,Member,Male,Fashion accessories,56.04,10,28.02,588.42,2019-01-14,Ewallet,560.4,28.02,4.4,2019,1,14,Not Satisfied
320-85-2052,Cairo,Mandalay,Normal,Female,Sports and travel,34.81,1,1.7405,36.5505,2019-01-14,Credit Card,34.81,1.7405,7.0,2019,1,14,Satisfied
426-39-2418,Giza,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,2019-01-14,Cash,429.87,21.4935,9.8,2019,1,14,Satisfied
359-90-3665,Cairo,Mandalay,Member,Female,Fashion accessories,18.08,4,3.616,75.936,2019-01-14,Credit Card,72.32,3.616,9.5,2019,1,14,Satisfied
314-23-4520,Giza,Naypyitaw,Member,Male,Health and beauty,81.23,7,28.4305,597.0405,2019-01-15,Cash,568.61,28.4305,9.0,2019,1,15,Satisfied
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,Ewallet,547.92,27.396,4.7,2019,1,15,Not Satisfied
886-54-6089,Alex,Yangon,Normal,Female,Home and lifestyle,54.795,6,3.429,72.009,2019-01-15,Cash,68.58,3.429,7.7,2019,1,15,Satisfied
369-82-2676,Cairo,Mandalay,Normal,Male,Electronic accessories,75.66,5,18.915,397.215,2019-01-15,Ewallet,378.3,18.915,7.8,2019,1,15,Satisfied
660-29-7083,Giza,Naypyitaw,Normal,Male,Electronic accessories,55.87,10,27.935,586.635,2019-01-15,Cash,558.7,27.935,5.8,2019,1,15,Not Satisfied
437-58-8131,Cairo,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,2019-01-15,Ewallet,147.04,7.352,4.6,2019,1,15,Not Satisfied
188-55-0967,Cairo,Mandalay,Member,Male,Health and beauty,66.47,10,33.235,697.935,2019-01-15,Credit Card,664.7,33.235,5.0,2019,1,15,Not Satisfied
301-11-9629,Alex,Yangon,Normal,Female,Sports and travel,19.1,7,6.685,140.385,2019-01-15,Cash,133.7,6.685,9.7,2019,1,15,Satisfied
138-17-5109,Alex,Yangon,Member,Female,Home and lifestyle,89.21,9,40.1445,843.0345,2019-01-15,Credit Card,802.89,40.1445,6.5,2019,1,15,Not Satisfied
450-28-2866,Giza,Naypyitaw,Member,Male,Food and beverages,17.44,5,4.36,91.56,2019-01-15,Cash,87.2,4.36,8.1,2019,1,15,Satisfied
744-16-7898,Cairo,Mandalay,Normal,Female,Home and lifestyle,97.37,10,48.685,1022.385,2019-01-15,Credit Card,973.7,48.685,4.9,2019,1,15,Not Satisfied
589-02-8023,Alex,Yangon,Member,Male,Food and beverages,83.77,2,8.377,175.917,2019-01-15,Credit Card,167.54,8.377,7.0,2019,1,15,Satisfied
618-34-8551,Alex,Yangon,Normal,Female,Sports and travel,93.18,2,9.318,195.678,2019-01-16,Credit Card,186.36,9.318,8.5,2019,1,16,Satisfied
659-65-8956,Cairo,Mandalay,Member,Female,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,Ewallet,51.36,2.568,5.2,2019,1,16,Not Satisfied
648-83-1321,Alex,Yangon,Member,Male,Home and lifestyle,63.56,10,31.78,667.38,2019-01-16,Cash,635.6,31.78,4.3,2019,1,16,Not Satisfied
842-29-4695,Giza,Naypyitaw,Member,Male,Sports and travel,17.14,7,5.999,125.979,2019-01-16,Credit Card,119.98,5.999,7.9,2019,1,16,Satisfied
372-62-5264,Giza,Naypyitaw,Normal,Female,Food and beverages,52.6,9,23.67,497.07,2019-01-16,Cash,473.4,23.67,7.6,2019,1,16,Satisfied
677-11-0152,Giza,Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.967,881.307,2019-01-16,Cash,839.34,41.967,8.8,2019,1,16,Satisfied
859-71-0933,Giza,Naypyitaw,Member,Female,Sports and travel,15.49,2,1.549,32.529,2019-01-16,Cash,30.98,1.549,6.3,2019,1,16,Not Satisfied
286-62-6248,Cairo,Mandalay,Normal,Male,Fashion accessories,39.21,4,7.842,164.682,2019-01-16,Credit Card,156.84,7.842,9.0,2019,1,16,Satisfied
347-72-6115,Cairo,Mandalay,Member,Female,Sports and travel,90.74,7,31.759,666.939,2019-01-16,Credit Card,635.18,31.759,6.2,2019,1,16,Not Satisfied
234-65-2137,Giza,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,Cash,955.8,47.79,4.8,2019,1,16,Not Satisfied
